,title,critic_score,audience_score
372,A Tree of Life: The Pittsburgh Synagogue Shooting,100,75
373,A Trip to the Moon,100,90
374,A Tuba to Cuba,100,82
375,A Wedding,100,100
376,A Werewolf Boy,100,85
377,A Whisper to a Roar,100,82
378,A Woman's Face,100,83
379,A.K.A. Doc Pomus,100,
380,A.rtificial I.mmortality,100,
381,AVA: A Twist in the Road,100,94
382,Abortion: Stories Women Tell,100,65
383,About Pie,100,91
384,About a Teacher,100,
385,Abracadabra,100,43
386,"Acasa, My Home",100,83
387,Accattone,100,88
388,Act & Punishment,100,
389,Adjust Your Tracking: The Untold Story of the VHS Collector,100,85
390,Adoption,100,88
391,Adrienne,100,
392,Advocate,100,71
393,Aelita: Queen of Mars,100,58
394,Afghan Cycles,100,83
395,Afghan Star,100,77
396,Africa: The Serengeti,100,70
397,After Auschwitz,100,83
398,After Parkland,100,61
399,After Stonewall,100,76
400,After Truth: Disinformation and the Cost of Fake News,100,60
401,After the Thin Man,100,90
402,Aftershock,100,52
403,Against the Law,100,71
404,Age of Consent,100,50
405,Aida's Secrets,100,79
406,Aileen Wuornos: The Selling of a Serial Killer,100,66
407,Ainu Mosir,100,67
408,Ajeeb Daastaans,100,60
409,Ala Vaikunthapurramuloo,100,76
410,Alanis,100,59
411,Algren,100,
412,Ali Wong: Baby Cobra,100,74
413,Ali Wong: Hard Knock Wife,100,67
414,Ali: Fear Eats the Soul,100,91
415,Alice Is Still Dead,100,
416,Alice in the Cities,100,91
417,Alien Boy: The Life and Death of James Chasse,100,90
418,Alien Raiders,100,34
419,Alien Xmas,100,66
420,Aligarh,100,85
421,Alive and Kicking,100,93
422,All About Them,100,55
423,All Hands on Deck,100,68
424,All In: The Fight for Democracy,100,67
425,All Is Good,100,63
426,All Out,100,68
427,All Quiet on the Western Front,100,69
428,All This Mayhem,100,89
429,All Through the Night,100,70
430,All of Me,100,100
431,All the Wild Horses,100,83
432,All the World Is Sleeping,100,100
433,Alleluia! The Devil's Carnival,100,84
434,Alone With Her Dreams,100,80
435,AlphaGo,100,99
436,Amal,100,90
437,Ambulance,100,
438,American Harmony,100,97
439,American Heretics: The Politics of the Gospel,100,
440,American Interior,100,95
441,American Jihad,100,55
442,American Radical: The Trials of Norman Finkelstein,100,87
443,American Relapse,100,84
444,American Son,100,51
445,Among Wolves,100,92
446,América,100,
447,An Accidental Studio: The Story of HandMade Films,100,
448,An African Election,100,82
449,"Ana, mon amour",100,80
450,'Twas the Fight Before Christmas,100,56
451,...And God Spoke,100,72
452,100 Days,100,73
453,100 Days to Live,100,85
454,100 Years of Men in Love: The Accidental Collection,100,50
455,11:55,100,80
456,12 Angry Men,100,97
457,16 Acres,100,73
458,17 Blocks,100,
459,2 in the Bush: A Love Story,100,
460,2040,100,47
461,27: El club de los malditos,100,0
462,"3 1/2 Minutes, Ten Bullets",100,86
463,3 Idiots,100,93
464,32 Pills: My Sister's Suicide,100,48
465,32 Weeks,100,95
466,36,100,81
467,4 Little Girls,100,89
468,42 Grams,100,69
469,4x4,100,60
470,5-25-77,100,88
471,500 Years,100,
472,537 Votes,100,70
473,5B,100,97
474,7 Days in September,100,80
475,76 Days,100,84
476,7:19,100,53
477,808,100,68
478,99 River Street,100,81
479,9to5: The Story of A Movement,100,90
480,A Beautiful Planet,100,78
481,A Bigger Splash,100,42
482,A Bittersweet Life,100,90
483,A Brighter Summer Day,100,94
484,A Brother's Kiss,100,67
485,A Christmas Carol,100,74
486,A Conspiracy of Faith,100,67
487,A Crime on the Bayou,100,80
488,A Day in the Country,100,87
489,A Deal With the Universe,100,
490,A Foreign Affair,100,78
491,"A Good Day to Die, Hoka Hey",100,
492,A Gray State,100,58
493,A Huey P. Newton Story,100,85
494,A Kid From Coney Island,100,69
495,A Kiss Before Dying,100,49
496,A Lesson in Love,100,77
497,A Lion in the House,100,97
498,A Love Song for Latasha,100,76
499,A Man Escaped,100,93
500,A Man Vanishes,100,81
501,A Mermaid in Paris,100,64
502,A Midsummer Night's Dream,100,67
503,A Million Colours,100,72
504,A Most Beautiful Thing,100,96
505,A Night to Remember,100,90
506,A Pebble in the Pond,100,100
507,A Peloton of One,100,
508,A People Uncounted,100,75
509,A Picture of You,100,75
510,A Quiet Place in the Country,100,54
511,A River Below,100,83
512,A Room With a View,100,85
513,A Secret Love,100,90
514,A Small Measure of Justice,100,
515,A Special Day,100,92
516,A Star Is Born,100,79
517,A Stray,100,75
518,A Tale of Love and Desire,100,
519,A Thousand Cuts,100,79
520,A Throw of Dice,100,47
521,"A Time to Live, a Time to Die",100,82
522,A Tree of Life: The Pittsburgh Synagogue Shooting,100,75
523,A Trip to the Moon,100,90
524,A Tuba to Cuba,100,82
525,A Wedding,100,100
526,A Werewolf Boy,100,85
527,A Whisper to a Roar,100,82
528,A Woman's Face,100,83
529,A.K.A. Doc Pomus,100,
530,A.rtificial I.mmortality,100,
531,AVA: A Twist in the Road,100,94
532,Abortion: Stories Women Tell,100,65
533,About Pie,100,91
534,About a Teacher,100,
535,Abracadabra,100,43
536,"Acasa, My Home",100,83
537,Accattone,100,88
538,Act & Punishment,100,
539,Adjust Your Tracking: The Untold Story of the VHS Collector,100,85
540,Adoption,100,88
541,Adrienne,100,
542,Advocate,100,71
543,Aelita: Queen of Mars,100,58
544,Afghan Cycles,100,83
545,Afghan Star,100,77
546,Africa: The Serengeti,100,70
547,After Auschwitz,100,83
548,After Parkland,100,61
549,After Stonewall,100,76
550,After Truth: Disinformation and the Cost of Fake News,100,60
551,After the Thin Man,100,90
552,Aftershock,100,52
553,Against the Law,100,71
554,Age of Consent,100,50
555,Aida's Secrets,100,79
556,Aileen Wuornos: The Selling of a Serial Killer,100,66
557,Ainu Mosir,100,67
558,Ajeeb Daastaans,100,60
559,Ala Vaikunthapurramuloo,100,76
560,Alanis,100,59
561,Algren,100,
562,Ali Wong: Baby Cobra,100,74
563,Ali Wong: Hard Knock Wife,100,67
564,Ali: Fear Eats the Soul,100,91
565,Alice Is Still Dead,100,
566,Alice in the Cities,100,91
567,Alien Boy: The Life and Death of James Chasse,100,90
568,Alien Raiders,100,34
569,Alien Xmas,100,66
570,Aligarh,100,85
571,Alive and Kicking,100,93
572,All About Them,100,55
573,All Hands on Deck,100,68
574,All In: The Fight for Democracy,100,67
575,All Is Good,100,63
576,All Out,100,68
577,All Quiet on the Western Front,100,69
578,All This Mayhem,100,89
579,All Through the Night,100,70
580,All of Me,100,100
581,All the Wild Horses,100,83
582,All the World Is Sleeping,100,100
583,Alleluia! The Devil's Carnival,100,84
584,Alone With Her Dreams,100,80
585,AlphaGo,100,99
586,Amal,100,90
587,Ambulance,100,
588,American Harmony,100,97
589,American Heretics: The Politics of the Gospel,100,
590,American Interior,100,95
591,American Jihad,100,55
592,American Radical: The Trials of Norman Finkelstein,100,87
593,American Relapse,100,84
594,American Son,100,51
595,Among Wolves,100,92
596,América,100,
597,An Accidental Studio: The Story of HandMade Films,100,
598,An African Election,100,82
599,"Ana, mon amour",100,80
600,'Twas the Fight Before Christmas,100,56
601,...And God Spoke,100,72
602,100 Days,100,73
603,100 Days to Live,100,85
604,100 Years of Men in Love: The Accidental Collection,100,50
605,11:55,100,80
606,12 Angry Men,100,97
607,16 Acres,100,73
608,17 Blocks,100,
609,2 in the Bush: A Love Story,100,
610,2040,100,47
611,27: El club de los malditos,100,0
612,"3 1/2 Minutes, Ten Bullets",100,86
613,3 Idiots,100,93
614,32 Pills: My Sister's Suicide,100,48
615,32 Weeks,100,95
616,36,100,81
617,4 Little Girls,100,89
618,42 Grams,100,69
619,4x4,100,60
620,5-25-77,100,88
621,500 Years,100,
622,537 Votes,100,70
623,5B,100,97
624,7 Days in September,100,80
625,76 Days,100,84
626,7:19,100,53
627,808,100,68
628,99 River Street,100,81
629,9to5: The Story of A Movement,100,90
630,A Beautiful Planet,100,78
631,A Bigger Splash,100,42
632,A Bittersweet Life,100,90
633,A Brighter Summer Day,100,94
634,A Brother's Kiss,100,67
635,A Christmas Carol,100,74
636,A Conspiracy of Faith,100,67
637,A Crime on the Bayou,100,80
638,A Day in the Country,100,87
639,A Deal With the Universe,100,
640,A Foreign Affair,100,78
641,"A Good Day to Die, Hoka Hey",100,
642,A Gray State,100,58
643,A Huey P. Newton Story,100,85
644,A Kid From Coney Island,100,69
645,A Kiss Before Dying,100,49
646,A Lesson in Love,100,77
647,A Lion in the House,100,97
648,A Love Song for Latasha,100,76
649,A Man Escaped,100,93
650,A Man Vanishes,100,81
651,A Mermaid in Paris,100,64
652,A Midsummer Night's Dream,100,67
653,A Million Colours,100,72
654,A Most Beautiful Thing,100,96
655,A Night to Remember,100,90
656,A Pebble in the Pond,100,100
657,A Peloton of One,100,
658,A People Uncounted,100,75
659,A Picture of You,100,75
660,A Quiet Place in the Country,100,54
661,A River Below,100,83
662,A Room With a View,100,85
663,A Secret Love,100,90
664,A Small Measure of Justice,100,
665,A Special Day,100,92
666,A Star Is Born,100,79
667,A Stray,100,75
668,A Tale of Love and Desire,100,
669,A Thousand Cuts,100,79
670,A Throw of Dice,100,47
671,"A Time to Live, a Time to Die",100,82
672,A Tree of Life: The Pittsburgh Synagogue Shooting,100,75
673,A Trip to the Moon,100,90
674,A Tuba to Cuba,100,82
675,A Wedding,100,100
676,A Werewolf Boy,100,85
677,A Whisper to a Roar,100,82
678,A Woman's Face,100,83
679,A.K.A. Doc Pomus,100,
680,A.rtificial I.mmortality,100,
681,AVA: A Twist in the Road,100,94
682,Abortion: Stories Women Tell,100,65
683,About Pie,100,91
684,About a Teacher,100,
685,Abracadabra,100,43
686,"Acasa, My Home",100,83
687,Accattone,100,88
688,Act & Punishment,100,
689,Adjust Your Tracking: The Untold Story of the VHS Collector,100,85
690,Adoption,100,88
691,Adrienne,100,
692,Advocate,100,71
693,Aelita: Queen of Mars,100,58
694,Afghan Cycles,100,83
695,Afghan Star,100,77
696,Africa: The Serengeti,100,70
697,After Auschwitz,100,83
698,After Parkland,100,61
699,After Stonewall,100,76
700,After Truth: Disinformation and the Cost of Fake News,100,60
701,After the Thin Man,100,90
702,Aftershock,100,52
703,Against the Law,100,71
704,Age of Consent,100,50
705,Aida's Secrets,100,79
706,Aileen Wuornos: The Selling of a Serial Killer,100,66
707,Ainu Mosir,100,67
708,Ajeeb Daastaans,100,60
709,Ala Vaikunthapurramuloo,100,76
