release_year,length,genre,rating,imdb_votes,gross_US_CA,imdb_score
1999,124,5,11,322899,116.09,7.2
2019,137,7,13,322121,2.0,7.9
2017,129,0,11,322035,172.56,6.5
2013,100,5,13,321958,112.2,5.8
1939,238,7,12,321180,198.68,8.2
2007,126,12,13,320530,25.59,7.1
2010,100,0,11,320353,118.31,6.4
2005,136,0,11,320333,35.82,6.8
2014,165,0,11,319553,245.44,5.6
2007,122,0,13,318926,53.61,7.7
2006,139,0,13,318874,50.87,7.8
2000,107,2,11,318814,45.51,7.7
1999,188,7,13,318278,22.46,8.0
2006,110,6,13,318203,22.49,7.7
1995,101,7,13,318062,5.54,8.1
2015,116,0,11,318035,45.45,7.2
1998,119,5,13,317787,176.48,7.1
2014,97,5,13,317623,150.16,6.3
1997,86,5,11,317306,181.41,6.9
2017,129,2,10,317249,504.01,7.1
1987,119,6,13,317224,76.27,7.8
2015,142,7,11,316993,72.31,7.6
2012,83,5,13,316901,59.65,6.4
2007,93,3,10,316843,320.71,6.1
2006,126,0,11,316716,64.04,7.1
2010,103,12,11,316592,54.01,6.8
2016,111,7,13,316534,27.85,7.4
1997,127,4,13,315412,41.91,7.7
2010,111,0,11,314555,90.38,7.0
2003,109,5,11,314437,81.26,7.2
2001,146,7,11,313680,78.62,7.2
1988,92,5,10,313587,73.71,7.5
2012,112,5,11,313587,65.0,7.1
2012,92,0,11,312655,139.85,6.2
2008,88,0,11,312548,80.17,6.1
2012,103,0,13,312297,85.02,6.6
1992,126,0,11,312247,162.83,7.1
2019,116,12,13,312217,175.08,6.8
2008,109,7,13,311972,26.24,7.9
1997,106,7,11,310798,12.34,7.8
1994,86,5,11,310219,72.22,6.9
2002,92,0,11,309645,25.3,6.8
2009,140,0,13,308768,97.1,7.0
2006,143,7,13,308214,34.3,7.5
2011,106,7,11,308154,75.66,6.8
2012,157,7,13,307763,95.72,7.4
2008,123,7,11,307715,69.95,7.6
2012,135,0,11,307507,113.2,6.6
1992,156,7,13,307443,63.9,8.0
2018,118,3,10,306846,608.58,7.6
2014,102,0,13,306791,106.58,6.2
1997,115,0,13,306667,101.12,6.9
1992,114,0,13,306342,55.47,6.4
2005,129,7,10,306088,38.41,7.8
1997,139,5,11,305985,148.48,7.7
2009,109,0,13,304992,73.34,7.4
2008,98,5,13,303497,100.47,6.9
1997,129,0,13,303175,54.81,7.3
1993,130,0,11,303084,183.88,7.8
2016,128,0,13,303080,86.26,7.3
1995,140,2,10,301860,173.84,7.7
2017,94,5,13,301734,48.96,7.4
2002,118,7,13,301618,67.36,7.2
2016,129,0,11,300930,65.08,6.4
2002,110,7,13,300020,116.72,7.2
1998,95,3,4,300013,162.8,7.2
2006,136,5,11,299861,63.22,6.9
1962,218,2,3,299724,44.82,8.3
2001,110,5,13,299531,52.36,7.6
2005,119,0,11,299523,25.51,7.8
2009,138,0,11,299500,133.38,6.7
2011,125,5,13,297925,169.11,6.8
1998,87,3,4,296995,120.62,7.6
2011,90,3,10,296268,165.25,7.2
2005,144,0,13,295506,47.4,7.2
2010,116,0,11,295019,90.76,6.6
2012,127,0,11,294239,155.33,6.1
2015,133,0,11,294200,109.77,7.6
2009,107,0,11,294066,155.06,6.5
2013,121,0,13,294005,125.1,7.5
2018,134,2,11,291931,159.56,6.5
2016,137,7,13,291752,47.7,7.8
2008,111,5,13,291309,63.17,7.1
2017,105,4,10,290684,174.34,7.5
2001,127,7,11,290329,57.39,7.6
1998,118,2,13,290208,10.68,7.5
2014,97,0,13,289819,0.07,7.4
2009,130,2,11,289738,296.62,4.7
2011,114,0,11,289185,116.6,5.5
2017,122,12,13,288212,74.26,6.4
2013,109,0,13,287740,26.0,6.9
2016,116,7,13,287734,10.66,7.5
1978,91,12,13,287353,47.0,7.7
2006,154,0,11,286586,200.08,6.1
2010,106,0,11,286357,163.21,5.8
2003,97,2,10,285945,173.4,7.1
2007,123,7,13,285918,50.93,7.8
2017,132,7,13,285561,18.1,7.8
2002,112,6,13,285391,96.4,6.8
1978,110,5,10,285338,188.76,7.2
2006,91,3,10,284949,195.33,6.8
2016,97,3,10,284773,486.3,7.3
2000,118,0,11,284583,101.65,6.5
2016,88,6,13,283627,89.22,7.1
2015,126,0,11,283327,89.76,6.3
1985,114,2,10,283283,61.5,7.7
1998,120,0,13,282628,70.09,7.1
2005,77,3,10,282500,53.36,7.3
2007,100,0,13,282430,28.64,6.9
2000,122,2,13,282399,32.53,7.9
2013,119,0,13,282356,98.93,6.5
2016,106,2,10,282258,364.0,7.4
2016,106,3,10,281766,5.02,8.4
2001,131,6,13,281604,165.09,6.8
2000,165,0,13,281499,113.33,7.2
2012,95,0,13,281237,13.41,7.1
2016,96,4,11,281140,125.07,7.4
1997,150,7,10,281032,100.92,7.5
2003,107,0,11,280428,127.15,5.9
2007,104,9,11,280393,71.99,6.8
2002,124,6,13,279945,93.15,7.2
