,title,director,release_year,length,genre,imdb_score,rating,gross_US_CA,imdb_votes
28618,Nan yang di yi xie jiang,Otto Chan,(1996),96 min,"Comedy, Fantasy, Horror",6.2,,,89
28619,Moonshine,Roger Ingraham,(I) (2006),73 min,"Comedy, Drama, Horror",7.3,Not Rated,,89
28620,Fixer,Sam Mason-Bell,(2021),85 min,Crime,5.9,,,89
28621,Chhupam Chhaai,Pratik Mittal,(2016),94 min,"Adventure, Drama, Family",8.5,,,89
28622,Forget Love for Now,Hiroshi Shimizu,(1937),73 min,Drama,7.0,,,89
28623,A Town Called Panic: Double Fun,Stéphane Aubier,(2016),60 min,"Animation, Comedy",8.0,,,89
28624,Joe & Joe,David Wall,(1996),79 min,"Comedy, Music, Mystery",7.0,Not Rated,,89
28625,Justice,Jeanne-Marie Almonor,(2004),104 min,Drama,6.5,R,,89
28626,Pravo cudo,Lukas Nola,(2007),107 min,"Drama, Mystery, Romance",6.1,,,89
28627,Popcorn Khao! Mast Ho Jao,Kabir Sadanand,(2004),138 min,"Comedy, Drama, Romance",4.0,,,89
28628,1st Bite,Hunt Hoe,(2006),120 min,"Comedy, Drama, Fantasy",4.2,Not Rated,,89
28629,Anhonee,Khwaja Ahmad Abbas,(1952),155 min,"Drama, Romance, Thriller",7.3,Not Rated,,89
28630,Ting jian ge zai chang,Chih-Lin Yang,(2021),113 min,Drama,6.7,,,89
28631,Chateau,Modi Barry,(2017),81 min,"Comedy, Drama",6.0,,,89
28632,Eugenia,Martín Boulocq,(2017),82 min,Drama,5.5,,,89
28633,Ohne Dich,Alexandre Powelz,(2014),90 min,"Drama, Romance",6.2,,,89
28634,Aftermath,Robert Thompson,(I) (2012),105 min,"Action, Horror",3.7,,,89
28635,Mop King,Ace Dixon,(2013),89 min,Comedy,6.8,,,89
28636,"Rudi, benimm dich!",Franz Josef Gottlieb,(1971),88 min,"Comedy, Musical",4.1,,,89
28637,Mördaren - En helt vanlig person,Arne Mattsson,(1967),96 min,"Comedy, Mystery, Thriller",5.9,,,89
28638,Highlight,Asghar Naimi,(2018),80 min,Drama,4.1,,,89
28639,Mr. Mari's Girls,William K. Hennigar,(1967),63 min,"Crime, Drama",5.4,Approved,,89
28640,Where's the Dragon?,Sing-Choong Foo,(2015),97 min,Animation,5.7,,,89
28641,Daisy,Prathap Pothen,(1988),,Drama,7.4,,,89
28642,Three Girls Named Anna,Branko Bauer,(1959),97 min,Drama,7.7,,,89
28643,A Lust to Kill,Oliver Drake,(1958),74 min,Western,5.7,Not Rated,,89
28644,Mr. Art Critic,Richard Brauer,(2007),89 min,"Comedy, Drama",5.7,PG-13,,89
28645,Roepman,Paul Eilers,(2011),115 min,Drama,7.7,,,89
28646,The Old Master,Joseph Kuo,(1979),89 min,"Action, Adventure, Comedy",5.2,,,89
28647,Till My Heartaches End,Jose Javier Reyes,(2010),110 min,"Drama, Romance",6.5,TV-PG,,89
28648,Ordinary Justice,Chiara Bellosi,(2020),84 min,Drama,6.2,,,89
28649,The Brainsucker,Herb Robins,(1988),,"Comedy, Horror",4.0,,,89
28650,Berlin -7º,Ramtin Lavafipour,(2013),92 min,Drama,5.5,,,89
28651,An Imperfect Crime,Fernando Fernán Gómez,(1970),88 min,Comedy,5.1,,,89
28652,Klamek ji bo Beko,Nizamettin Ariç,(1992),100 min,War,6.1,,,89
28653,Restoran po ponyatiyam. Film,David Dadunashvili,(2022),86 min,"Comedy, Crime",8.0,,,89
28654,Biznes sta Valkania,Vasilis Boudouris,(1996),100 min,"Comedy, Drama",6.0,,,89
28655,South of Sanity,Mathew Edwards,(2012),90 min,Horror,5.4,R,,89
28656,The Lion Man,John P. McCarthy,(1936),67 min,Adventure,4.8,Passed,,89
28657,Sazaye Maut,Vidhu Vinod Chopra,(1981),,"Crime, Drama",7.5,,,89
28658,Carmen G,Hernan Herrera,(2012),87 min,"Drama, Thriller",9.2,,,89
28659,Love Is... Pyjamas,Vincent Kok,(2012),99 min,"Comedy, Romance",4.7,,,89
28660,Passionnelle,Edmond T. Gréville,(1947),86 min,Drama,6.7,,,89
28661,Gui yan,Chih-Hung Kuei,(1974),98 min,Horror,6.1,,,89
28662,Les miracles n'ont lieu qu'une fois,Yves Allégret,(1951),98 min,"Drama, Romance, War",6.8,,,89
28663,To Die... To Sleep... Perchance to Dream,Manuel Mur Oti,(1976),97 min,Drama,5.7,,,89
28664,Nastazja,Andrzej Wajda,(1994),100 min,"Drama, Romance",6.8,,,89
28665,Amores locos,Beda Docampo Feijóo,(2009),90 min,Romance,6.0,,,89
28666,Silver Canyon,John English,(1951),70 min,"Drama, Music, Western",6.3,Approved,,89
28667,Seven Years Itch,Johnnie To,(1987),82 min,"Comedy, Drama",5.2,,,89
28668,We're in the Legion Now,Crane Wilbur,(1936),56 min,"Action, Adventure, Comedy",4.8,Passed,,89
28669,8 Tiros,Bruno Hernández,(2015),88 min,"Action, Crime, Drama",6.1,,,89
28670,13th Sign,Michael Donald Bryant,(2011),98 min,Horror,6.7,Not Rated,,89
28671,Güller ve dikenler,Nejat Saydam,(1970),84 min,Romance,5.7,,,89
28672,Badarna,Yngve Gamlin,(1968),98 min,Drama,4.9,,,89
28673,Bal Ganesh 2,Pankaj Sharma,(2009),74 min,Animation,7.3,Not Rated,,89
28674,Mom Thinks I'm Crazy to Marry a Japanese Guy,Akihisa Yachida,(2017),92 min,"Comedy, Romance",5.7,,,89
28675,Elisa's Day,Alan Fung,(2021),106 min,"Crime, Drama",5.6,,,89
28676,461 Days of Bento,Atsushi Kaneshige,(2020),119 min,Drama,6.7,,,89
28677,Plop en het vioolavontuur,Matthias Temmermans,(2005),65 min,Family,6.2,,,89
28678,Zombies from Sector 9,Ceus Rob,(2020),80 min,Horror,5.9,,,89
28679,Down the River,Anucha Boonyawatana,(2004),52 min,Drama,5.4,Not Rated,,89
28680,American Blend,Varun Khanna,(2006),100 min,"Comedy, Drama",6.1,,,89
28681,Rock Baby - Rock It,Murray Douglas Sporup,(1957),84 min,"Crime, Musical",5.5,,,89
28682,Una donna per la vita,Maurizio Casagrande,(2012),90 min,Comedy,6.0,,,89
28683,Cilali Ibo Avrupa'da,Osman F. Seden,(1970),58 min,"Action, Adventure, Comedy",4.1,,,89
28684,Super Star Super Silly,Duc Thinh,(2018),90 min,"Comedy, Romance",4.8,,,89
28685,All Through the Night,Farzad Motamen,(2020),94 min,"Drama, Fantasy, Romance",4.2,,,89
28686,Pete Winning and the Pirates: The Motion Picture,Mike Donis,(2015),93 min,"Adventure, Comedy, Sci-Fi",5.3,,,89
28687,Next Year,Vania Leturcq,(2014),105 min,Drama,5.8,,,89
28688,Pulce non c'è,Giuseppe Bonito,(2012),97 min,Drama,6.8,,,89
28689,Disruption,Roshaun Akeem Page,(2019),62 min,"Drama, Sci-Fi",3.1,,,89
28690,Prairie Moon,Ralph Staub,(1938),58 min,"Drama, Music, Western",6.4,Passed,,89
28691,I Stand Condemned,Anthony Asquith,(1935),76 min,"Drama, Romance, War",5.8,Approved,,89
28692,Avaeté - Semente da Vingança,Zelito Viana,(1985),110 min,Drama,6.4,,,89
28693,Dädä Qorqud,Tofig Taghizade,(1975),126 min,Drama,8.2,,,89
28694,No Way Back,Victor Vicas,(1953),87 min,"Drama, History, Romance",6.5,,,89
28695,Chambre à part,Jacky Cukier,(1989),93 min,Comedy,5.1,,,89
28696,Shi mei chu ma,Tso Nam Lee,(1980),92 min,Action,6.8,,,89
28697,Tora-san Goes Religious?,Yôji Yamada,(1983),105 min,Comedy,7.0,,,89
28698,Minha Namorada,Armando Costa,(1970),82 min,"Comedy, Romance",6.5,,,89
28699,El bien esquivo,Augusto Tamayo San Román,(2001),130 min,Drama,6.2,,,89
28700,Assassins,Michael Bonomo,(I) (2014),84 min,"Action, Drama, Thriller",4.6,Not Rated,,89
28701,Maala Yogam,Sibi Malayil,(1990),130 min,"Comedy, Drama",6.4,Not Rated,,89
28702,One Way Out,Francis Searle,(1955),61 min,"Crime, Drama, Mystery",5.9,Not Rated,,89
28703,Deadtime,Rody Claude,(2013),98 min,"Action, Crime, Thriller",6.9,Not Rated,,89
28704,Love Summer,Triluck Makmeongpad,(2011),110 min,Comedy,6.1,,,89
28705,Zen-ma,Keisuke Kinoshita,(1951),108 min,Drama,6.5,,,89
28706,Bellyful,Melvin Van Peebles,(2000),105 min,"Comedy, Drama",3.2,,,89
28707,The Singing Hill,Lew Landers,(1941),75 min,"Drama, Music, Western",6.4,Approved,,89
28708,Hafez,Abolfazl Jalili,(2007),98 min,"Drama, Romance",7.1,,,89
28709,El jardín del Edén,María Novaro,(1994),104 min,Drama,6.6,,,89
28710,Santaj,Geo Saizescu,(1981),96 min,"Comedy, Thriller",7.4,,,89
28711,Little Cop,Eric Tsang,(1989),90 min,"Comedy, Crime",6.1,,,89
28712,I Was It Three Times,Sacha Guitry,(1952),81 min,"Comedy, Romance",6.6,,,89
28713,Hanuman klook foon,Sakchai Sribonnam,(2008),98 min,Action,4.2,,,89
28714,Christian Blake,Eoin Macken,(2008),87 min,Thriller,3.3,Not Rated,,89
28715,The Thaw,Boris Barnet,(1931),65 min,Drama,6.8,,,89
28716,Inuneko,Nami Iguchi,(2004),94 min,Comedy,6.9,,,89
28717,Today Match at 3,Clarisa Navas,(2017),96 min,Drama,6.6,,,89
28718,Das Brot des Bäckers,Erwin Keusch,(1976),123 min,Drama,7.8,,,89
28719,Aadu Magaadra Bujji,G.R. Krishna,(2013),141 min,"Action, Comedy, Romance",5.7,,,89
28720,Cheonnyeon ho,Shin Sang-ok,(1969),89 min,"Action, Fantasy, Horror",6.3,,,89
28721,Face in the Sky,Harry Lachman,(1933),77 min,"Comedy, Music, Romance",6.3,Passed,,89
28722,Al Mothneboon,Said Marzouk,(1975),121 min,"Crime, Mystery, Thriller",6.5,,,89
28723,Make Like a Thief,Åke Lindman,(1964),80 min,"Comedy, Crime, Thriller",6.0,,,89
28724,Heroes Are Made,Mark Donskoy,(1942),76 min,Drama,6.7,,,89
28725,Akasa Veedhilo,Singeetam Srinivasa Rao,(2001),139 min,"Drama, Family",4.9,,,89
28726,Neverné hry,Michaela Pavlátová,(2003),93 min,Drama,6.8,,,89
28727,Dwaj panowie 'N',Tadeusz Chmielewski,(1962),100 min,"Crime, Thriller",6.9,,,89
28728,The Stolen Ranch,William Wyler,(1926),56 min,"Drama, Western",5.7,,,89
28729,Cimbiz Ali,Sirri Gültekin,(1971),79 min,Comedy,5.8,,,89
28730,The Assassin,Ryûichi Takamori,(1970),87 min,"Action, Crime, Drama",6.4,,,89
28731,Drop Back Ten,Stacy Cochran,(2000),93 min,"Comedy, Drama",5.6,Not Rated,,89
28732,The Twins,Heung-sik Park,(2005),122 min,"Comedy, Crime",5.6,,,89
28733,República dos Assassinos,Miguel Faria Jr.,(1979),100 min,"Crime, Drama",7.1,,,89
28734,Law of the Wild,B. Reeves Eason,(1934),225 min,"Action, Crime, Western",6.4,Approved,,89
28735,The Abyss,Rogério Sganzerla,(1977),80 min,Drama,7.0,,,89
28736,Silly Billies,Fred Guiol,(1936),64 min,"Comedy, Western",6.1,Passed,,89
28737,The Three Amateurs,John Alton,(1933),65 min,Comedy,6.8,,,89
28738,A Drifting Life,Cheng-sheng Lin,(1996),123 min,Drama,6.4,,,89
28739,Wildfire: The Arabian Heart,Michael Vincent,(2010),88 min,"Action, Comedy, Drama",4.1,PG,,89
28740,Les casse-pieds,Jean Dréville,(1948),71 min,"Animation, Comedy, Romance",6.7,Approved,,89
28741,Curfew,Rashid Masharawi,(1994),74 min,Drama,3.9,,,89
28742,Revolution Summer,Miles Montalbano,(2007),90 min,Drama,5.4,Not Rated,,89
28743,Spunk's Not Dead,Zach Carter,(2018),98 min,"Action, Comedy, Crime",4.8,,,89
28744,Wie heiratet man einen König,Rainer Simon,(1969),74 min,Family,6.7,,,89
28745,Ya rodom iz detstva,Viktor Turov,(1966),105 min,"Drama, War",7.4,,,89
28746,Primrose Hill,Mikhaël Hers,(2007),57 min,Drama,6.2,,,89
28747,La biblia negra,David Pujol,(2001),90 min,Horror,5.0,,,89
28748,Asktan da üstün,Atif Yilmaz,(1970),101 min,"Drama, Romance",7.3,,,89
28749,"Veni, vidi, vici",Jirí Chlumský,(2009),95 min,"Comedy, Drama, Romance",3.1,,,89
28750,Crazy Kingdom,Marta Ferencova,(2016),,"Comedy, Family, Fantasy",4.4,,,89
28751,Kanalkkattu,Sathyan Anthikad,(1991),,"Crime, Drama",7.0,,,89
28752,Til højre ved den gule hund,Peter Ringgaard,(2003),100 min,"Comedy, Drama, Family",5.8,,,89
28753,Niedzielne igraszki,Robert Glinski,(1983),60 min,Drama,6.9,,,89
28754,Nae cheongchun-ege goham,Young-nam Kim,(2005),126 min,Romance,6.1,,,89
28755,Mentor,Sigurður Anton,(I) (2020),96 min,Comedy,7.4,,,89
28756,Bir Günün Hikayesi,Sinan Çetin,(1980),80 min,Drama,6.4,,,89
28757,Catacomba,Roberto Albanesi,(2016),70 min,Horror,3.8,,,89
28758,Staromodnaya komediya,Era Savelyeva,(1979),92 min,"Comedy, Romance",7.6,,,89
28759,Zhigrana,Pasang Lama,(2015),125 min,"Horror, Mystery, Thriller",8.2,,,89
28760,Vozhd raznokozhikh,Egor Anashkin,(2012),105 min,Comedy,4.0,,,89
28761,Teenagers,Ahmad Dheyauddin,(1960),125 min,"Drama, Romance",6.5,,,89
28762,Sadhuram 2,Sumanth Radhakrishnan,(2016),132 min,"Crime, Horror, Thriller",6.5,,,89
28763,Chronological Order,Cris Silvent,(2010),96 min,"Comedy, Drama",4.7,,,89
28764,Bulldog Edition,Charles Lamont,(1936),57 min,"Action, Crime, Drama",5.5,Passed,,89
28765,Een pak slaag,Bert Haanstra,(1979),104 min,Drama,5.6,,,89
28766,Hermano,Giovanni Robbiano,(2007),94 min,Drama,7.3,,,89
28767,Camera Phone,Eddie Brown Jr.,(2012),80 min,Horror,2.9,,,89
28768,Puska za uspavljivanje,Hrvoje Hribar,(1997),116 min,"Crime, Thriller",5.5,,,89
28769,Sonho Sem Fim,Lauro Escorel,(1986),93 min,Biography,6.9,,,89
28770,Vergeßt Mozart,Miloslav Luther,(1985),92 min,"Music, Mystery, Thriller",6.7,,,89
28771,Tian xia di yi jian,Lei Pan,(1968),84 min,"Adventure, Drama",6.9,,,89
28772,Opernball,Ernst Marischka,(1956),95 min,"Comedy, Musical, Romance",6.4,,,89
28773,Scrooge in the Hood,Richard Chandler,(2011),83 min,"Comedy, Crime",4.3,Not Rated,,89
28774,Lunar Eclipse,Quan'an Wang,(1999),95 min,Drama,6.4,,,89
28775,Chaos,Geraldine Creed,(I) (2002),,Sci-Fi,3.7,R,$0.20M,89
28776,Les 2 crocodiles,Joël Séria,(1987),90 min,"Comedy, Drama",5.8,,,89
28777,The Kid's Last Ride,S. Roy Luby,(1941),55 min,"Drama, Western",5.3,Approved,,89
28778,Der Mond und andere Liebhaber,Bernd Böhlich,(2008),101 min,Drama,6.2,,,89
28779,"Tora-san, the Expert",Yôji Yamada,(1982),106 min,"Comedy, Romance",6.7,,,89
28780,Quaresma,José Álvaro Morais,(2003),95 min,Drama,6.2,,,89
28781,River,Ryûichi Hiroki,(I) (2011),89 min,Drama,6.2,,,89
28782,Cool Apocalypse,Michael Glover Smith,(2015),73 min,"Comedy, Drama, Romance",7.9,,,89
28783,Anita Garibaldi,Goffredo Alessandrini,(1952),99 min,"Drama, History",6.2,,,89
28784,Kilimanjaro,Seung-uk Oh,(2000),100 min,"Action, Thriller",6.0,,,89
28785,Majster kat,Palo Bielik,(1966),106 min,Drama,6.5,,,89
28786,Phantom Valley,Ray Nazarro,(1948),53 min,"Drama, Western",6.2,Passed,,89
28787,Die Csárdásfürstin,Miklós Szinetár,(1971),100 min,"Comedy, Musical, Romance",6.6,,,89
28788,Cross,Philippe Setbon,(1987),87 min,"Action, Crime, Thriller",4.4,,,89
28789,Bombaci,Cüneyt Arkin,(1988),83 min,"Action, Comedy",4.7,,,89
28790,Kage gari: Hoero taihô,Toshio Masuda,(1972),89 min,"Action, Adventure, Crime",6.6,,,89
28791,Aisuru,Kei Kumai,(1997),114 min,Drama,6.5,,,89
28792,Deli Sahin,Cüneyt Arkin,(1976),77 min,"Adventure, Comedy",5.2,,,89
28793,Adieu Léonard,Pierre Prévert,(1943),104 min,Comedy,6.2,,,89
28794,Lo más bonito y mis mejores años,Martín Boulocq,(2005),93 min,Drama,5.2,,,89
28795,"Papa, the Man, the Myth, the Legend",Jordan Rhodes,(2016),104 min,"Biography, Drama, History",7.8,,,89
28796,The Pretending Lovers,Fendou Liu,(2011),93 min,"Comedy, Romance",5.5,,,89
28797,Webcam,Marc van Uchelen,(2011),71 min,"Comedy, Drama",4.6,,,89
28798,Ópera,Juan Patricio Riveroll,(2007),87 min,Drama,6.0,,,89
28799,"My Love, My Bride",Lee Myung-se,(1990),108 min,"Comedy, Romance",7.1,,,89
28800,Fact,Almantas Grikevicius,(1981),91 min,"Drama, War",7.2,,,89
28801,Mestari,Anssi Mänttäri,(1992),109 min,Drama,4.5,,,89
28802,Angne & Svullo 'Här och nu!',Hans Crispin,(1991),,Comedy,7.9,,,89
28803,Mater natura,Massimo Andrei,(2005),94 min,Comedy,6.0,,,89
28804,Last Time Forever,Adam Bonfanti,(2006),,"Crime, Drama, Thriller",7.0,,,89
28805,Muhammad and Jane,Usama Alshaibi,(2003),82 min,Drama,8.3,,,89
28806,Uma Vida em Segredo,Suzana Amaral,(2001),95 min,Drama,6.7,,,89
28807,Kamen Rider Super-1: The Movie,Hiroshi Miyauchi,(1981),46 min,"Action, Adventure, Drama",5.5,,,89
28808,Tonka,Jean-Hugues Anglade,(1997),113 min,"Comedy, Drama",6.8,,,89
28809,Aurélia Steiner (Vancouver),Marguerite Duras,(1979),48 min,,7.5,,,89
28810,Pure America,Péter Gothár,(1987),113 min,Drama,7.2,,,89
28811,Wir machen durch bis morgen früh,Lars Becker,(2014),90 min,Comedy,5.2,,,89
28812,Cities in Love,Runnian Dong,(2015),117 min,Romance,5.0,,,89
28813,The Fall Before Paradise,Steven Gillilan,(2004),100 min,Thriller,6.7,,,89
28814,Migren,Manli Shojaeifard,(2012),90 min,Drama,5.1,,,89
28815,Hirschen,George Inci,(2014),125 min,Comedy,4.7,,,89
28816,Angel's Tide,Zeph E. Daniel,(1995),,,7.4,,,89
28817,The Love Test,Michael Powell,(1935),63 min,"Comedy, Romance",5.8,,,89
28818,Le coeur de madame Sabali,Ryan McKenna,(2015),79 min,"Comedy, Drama, Fantasy",6.7,,,89
28819,Babam Askerde,Handan Ipekçi,(1995),86 min,Drama,6.6,,,89
28820,Dogs Without Names,Akane Yamada,(2015),107 min,Drama,7.4,,,89
28821,Iz zhizni nachalnika ugolovnogo rozyska,Stepan Puchinyan,(1983),93 min,"Crime, Drama, Mystery",6.3,,,89
28822,Patnam Vachchina Pativrathalu,Vijaya Baapineedu,(1982),138 min,"Action, Comedy, Drama",7.7,Not Rated,,89
28823,Flannelfoot,Maclean Rogers,(1953),74 min,"Crime, Drama",5.3,,,89
28824,Flight of the Golden Fly,Ivan Kravchyshyn,(2015),136 min,Comedy,7.3,,,89
28825,AD Project,Eros Puglielli,(2006),96 min,"Horror, Sci-Fi",4.8,,,89
28826,Seninki Kaç Para?,Hakki Görgülü,(2012),,"Comedy, Drama, Fantasy",4.1,,,89
28827,Give Love,Fire Lee,(2009),90 min,"Comedy, Romance",5.6,,,89
28828,Craptastic,David Dillehunt,(2008),89 min,Comedy,3.5,Not Rated,,89
28829,De Goede Dood,Wannie de Wijn,(2012),88 min,Drama,6.5,,,89
28830,The Silver Bullet,Joseph H. Lewis,(1942),58 min,"Drama, Western",5.9,Approved,,89
28831,Una vez al año ser hippy no hace daño,Javier Aguirre,(1969),90 min,"Comedy, Musical",5.4,,,89
28832,Hile Yolu,Ersin Kana,(2013),90 min,Drama,5.9,,,89
28833,Stand,Cosmos Kiindarius,(II) (2016),80 min,"Drama, Thriller",5.1,,,89
28834,A Class to Remember 3: The New Voyage,Yôji Yamada,(1998),133 min,Drama,6.5,,,89
28835,La hoz y el Martínez,Álvaro Sáenz de Heredia,(1985),82 min,"Comedy, Thriller",4.4,,,89
28836,Shikari,Abhaya Simha,(2011),,"Drama, Family",5.1,,,89
28837,Broker,Ravindra Prasad Patnaik,(2010),,Drama,7.4,,,89
28838,"Black Tape: A Tehran Diary, the Videotape Fariborz Kamkari Found in the Garbage",Fariborz Kamkari,(2002),83 min,Drama,6.3,,,89
28839,Augustas lilla felsteg,Thor Modéen,(1933),78 min,Comedy,4.9,,,89
28840,Thirupathi,Shivamani,(2006),133 min,"Action, Crime, Drama",6.6,,,89
28841,Dangerously Excited,Ja-hong Koo,(2011),101 min,"Comedy, Drama, Music",6.1,,,89
28842,South of Wawa,Robert Boyd,(1991),91 min,"Comedy, Drama",7.0,,,89
28843,Kartal Bey,Melih Gülgen,(1984),77 min,"Action, Crime",5.3,,,89
28844,Dursun Çavus,Ali Engin,(2014),93 min,Comedy,4.3,,,89
28845,Death Valley Gunfighter,R.G. Springsteen,(1949),60 min,"Drama, Western",6.6,Passed,,89
28846,The Saddle Buster,Fred Allen,(1932),59 min,Western,5.9,Passed,,89
28847,Dynamite Dan,Bruce Mitchell,(1924),66 min,"Action, Drama, Music",5.7,,,89
28848,Undercover,Sabine Boss,(2005),85 min,Comedy,6.0,,,89
28849,Oi ching ku see,Oxide Chun Pang,(2009),106 min,Romance,5.2,,,89
28850,"Security, Colorado",Andrew Gillis,(2001),93 min,Drama,5.0,,,89
28851,O Thymios takane thalassa,Alekos Sakellarios,(1959),73 min,Comedy,6.3,,,89
28852,I dur och skur,Stig Olin,(1953),87 min,"Comedy, Family, Music",5.8,,,89
28853,"Tytus, Romek i A'Tomek wsród zlodziei marzen",Leszek Galysz,(2002),74 min,Animation,5.4,,,89
28854,Priklyucheniya v tridesyatom tsarstve,Valeriya Ivanovskaya,(2010),86 min,"Family, Musical",2.1,,,89
28855,Betty I Am,Jose A. Renteria Jr.,(2012),93 min,Comedy,9.0,Unrated,,89
28856,An Angel Without Wings,Rako Prijanto,(2012),104 min,Drama,7.7,,,89
28857,Trapped,Robert Mann,(1999),92 min,"Drama, Thriller",6.9,,,89
28858,Delwende,S. Pierre Yameogo,(2005),90 min,Drama,6.6,,,89
28859,Transit Cities,Mohammed Hushki,(2010),70 min,"Drama, Family",6.0,,,89
28860,Fighting Frontier,Lambert Hillyer,(1943),57 min,Western,6.4,Passed,,89
28861,Chains,Andrew Osawaru,(I) (2019),62 min,Drama,3.5,,,89
28862,Zi yu zi le,Xin Lee,(2004),102 min,Comedy,6.4,,,89
28863,A Stone's Throw Away,Sebastián Hiriart,(2010),97 min,Adventure,6.9,,,89
28864,Varnu ezeras,Inesa Kurklietyte,(2007),61 min,Family,7.1,,,89
28865,The Unfortunate Marriage,Ernest C. Warde,(1917),68 min,Drama,7.1,Not Rated,,89
28866,Powerplegic,Natalie Degennaro,(2013),80 min,"Horror, Sci-Fi, Thriller",6.5,Not Rated,,89
28867,"Buenas noches, España",Raya Martin,(2011),70 min,"Drama, Sci-Fi",5.5,,,89
28868,Judge and Juvenile,Paul Verhoeven,(1960),94 min,Drama,6.3,,,89
28869,Patrioticheskaya komediya,Vladimir Khotinenko,(1992),109 min,"Comedy, Fantasy",6.0,,,89
28870,Tarnovskata tzaritza,Yanko Yankov,(1981),97 min,Drama,8.3,,,89
28871,L'homme qui marche,Aurélia Georges,(2007),83 min,Drama,7.2,,,89
28872,420,John Lyons,(2004),116 min,Comedy,7.7,,,89
28873,Premiere,Géza von Bolváry,(1937),82 min,"Comedy, Thriller",6.4,,,89
28874,Late Night Sessions,Joshua B. Hamlin,(1999),82 min,"Crime, Thriller",4.6,R,,89
28875,Bespokoynoe khozyaystvo,Mikhail Zharov,(1946),85 min,"Comedy, War",6.9,,,89
28876,An Adventure of Salvator Rosa,Alessandro Blasetti,(1939),97 min,Adventure,6.2,,,89
28877,The Perfect Nonsense,Addison Heath,(2016),,Comedy,5.4,,,89
28878,Tamozhnya,Aleksandr Muratov,(1982),78 min,Crime,5.4,,,89
28879,Out of Time,Michael Thomas Dunn,(1998),,Comedy,6.4,,,89
28880,Divort... din dragoste,Andrei Blaier,(1991),100 min,Drama,7.4,,,89
28881,Climax Family Full of Mistresses,Yoshikazu Katô,(2015),70 min,Drama,8.2,TV-MA,,88
28882,They Wait in the Dark,Patrick Rea,(2022),85 min,"Drama, Horror, Thriller",6.0,,,88
28883,Purgatory,Michal Kondrat,(2020),87 min,Drama,6.0,,,88
28884,There Is a Japanese Woman in My Room,DjMao,(2019),102 min,Romance,8.1,,,88
28885,The Podcast Murders,Alex Caulfield,(2022),123 min,Thriller,6.3,TV-14,,88
28886,The Sea,Marco Antonio Núñez,(2021),78 min,Drama,6.2,Unrated,,88
28887,Malibu Road,Montgomery Markland,(2021),105 min,"Mystery, Romance, Thriller",7.3,R,,88
28888,The Tower,Sérgio Borges,(2019),72 min,Drama,4.4,,,88
28889,Switch,Wil Lewis,(VII) (2016),101 min,Drama,5.7,Unrated,,88
28890,10th Class Diaries,Anji,(2022),142 min,Drama,5.9,,,88
28891,Naked Rashomon,Chûsei Sone,(1972),72 min,Drama,5.8,,,88
28892,Naanu Matthu Gunda,Srinivas Thimmaiah,(2020),139 min,Drama,7.6,,,88
28893,Jesus H. Zombie,Daniel Heisel,(2006),47 min,"Comedy, Horror, Sci-Fi",5.4,Not Rated,,88
28894,Close Your Eyes,Sol-mae Kim,(2017),144 min,"Crime, Mystery, Thriller",6.4,,,88
28895,El Hotel,Carlos Marcovich,(2016),102 min,"Comedy, Drama",3.9,,,88
28896,"Our Lady of San Juan, Four Centuries of Miracles",Francisco Pérez,(2021),122 min,"Drama, History",6.3,,,88
28897,Little Orphan Annie,John S. Robertson,(1932),70 min,"Comedy, Drama, Family",6.4,,,88
28898,The Skeleton's Compass,Sandra L. Martin,(2022),81 min,"Adventure, Family, Sci-Fi",5.8,Not Rated,,88
28899,Give or Take,Paul Riccio,(2020),103 min,"Comedy, Drama",7.1,Unrated,,88
28900,Carry on Kesar,Vipul Mehta,(2017),123 min,"Comedy, Drama, Family",9.1,,,88
28901,Bora Diya Pokuna,Satyajit Maitipe,(2004),141 min,Drama,7.5,M,,88
28902,Kamen Rider Saber + Kikai Sentai Zenkaiger: Super Hero Senki,Ryuta Tasaki,(2021),98 min,"Action, Adventure, Comedy",7.2,TV-PG,,88
28903,La guerra santa,Carlos Enrique Taboada,(1979),110 min,"Drama, War, Action",7.3,,,88
28904,Madrasta,Olivia M. Lamasan,(1996),120 min,Drama,7.8,TV-PG,,88
28905,Die Dinge zwischen uns,Iris Janssen,(2008),90 min,Drama,6.2,Not Rated,,88
28906,He Knows,Steven Morris,(2022),,Horror,6.0,,,88
28907,Doll Syndrome,Domiziano Cristopharo,(2014),95 min,Thriller,5.1,Unrated,,88
28908,Last Ones There,Evan Brown,(2021),72 min,"Drama, Mystery",3.1,,,88
28909,Spank,Ernie Clark,(1999),89 min,"Comedy, Drama",4.8,,,88
28910,Carry on Hotel,Jeffrey Lau,(1988),88 min,Comedy,5.5,,,88
28911,The Trial,Chito S. Roño,(I) (2014),128 min,"Crime, Drama, Family",7.2,,,88
28912,"Black Dog, Red Dog",Adriana Cepeda Espinosa,(2015),85 min,"Drama, Family, Thriller",4.1,,,88
28913,Priyuraalu,Ramaraju,(2021),114 min,Romance,7.0,,,88
28914,Cinta Laki-Laki Biasa,Guntur Soeharjanto,(2016),115 min,"Drama, Romance",7.9,,,88
28915,Padre,Giada Colagrande,(II) (2016),91 min,Drama,6.2,,,88
28916,The Dark Side,Constantino Magnatta,(1987),95 min,"Crime, Drama, Thriller",4.1,R,,88
